Author(s),Title,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,Number of Pages,DATABASE,DOI,"""Big Data"" in Title","""Big Data"" in Abstract","""Big Data"" in Keywords","""Big Data"" in Article Text","""Big Data"" in References",No Abstract,No Keywords,No References
"Mugge, Liza; Evans, Elizabeth; Engeli, Isabelle",introduction: gender in european political science education - taking stock and future directions,EUROPEAN POLITICAL SCIENCE,2016,15,3,281,291,10,SSCI - PS,10.1057/eps.2015.72,0,1,0,0,0,0,0,0
"Mutlu, Can E.","Of Algorithms, Data and Ethics: A Response to Andrew Bennett",MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,2015,43,3,998,1002,4,SSCI - IR,10.1177/0305829815581536,0,1,0,1,0,0,0,0
"Nagler, Jonathan; Tucker, Joshua A.",Drawing Inferences and Testing Theories with Big Data,PS-POLITICAL SCIENCE & POLITICS,2015,48,1,84,88,4,SSCI - PS,10.1017/S1049096514001796,1,0,0,1,0,1,1,0
"Neo, Rachel L.",Favoritism or Animosity? Examining How SNS Network Homogeneity Influences Vote Choice via Affective Mechanisms,INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,2016,28,4,461,483,22,SSCI - PS,10.1093/ijpor/edv035,0,0,1,0,1,0,0,0
"O'Donnell, Matthew Brook; Falk, Emily B.",Big Data under the Microscope and Brains in Social Context: Integrating Methods from Computational Social Science and Neuroscience,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,274,289,15,SSCI - PS,10.1177/0002716215569446,1,0,1,1,1,0,0,0
"Patty, John W.; Penn, Elizabeth Maggie",Analyzing Big Data: Social Choice and Measurement,PS-POLITICAL SCIENCE & POLITICS,2015,48,1,95,101,6,SSCI - PS,10.1017/S1049096514001814,1,0,0,1,1,1,0,0
"Phillips, Fred",A perspective on 'Big Data',SCIENCE AND PUBLIC POLICY,2017,44,5,730,737,7,SSCI - PA,10.1093/scipol/scx012,1,1,1,1,1,0,0,0
"Phillips, Trevor; Webber, Richard",Superdiversity and the Browning of Labour,POLITICAL QUARTERLY,2014,85,3,304,311,7,SSCI - PS,10.1111/1467-923X.12100,0,1,0,0,0,0,0,0
"Pires, Sara Moreno; Magee, Liam; Holden, Meg",Learning from community indicators movements: Towards a citizen-powered urban data revolution,ENVIRONMENT AND PLANNING C-POLITICS AND SPACE,2017,35,7,1304,1323,19,SSCI - PA,10.1177/2399654417691512,0,0,1,1,1,0,0,0
"Poel, Martijn; Meyer, Eric T.; Schroeder, Ralph","Big Data for Policymaking: Great Expectations, but with Limited Progress?",POLICY AND INTERNET,2018,10,3,347,367,20,SSCI - PS,10.1002/poi3.176,1,1,1,1,1,0,0,0
"Quintanilla, Gabriela; Gil-Garcia, Jose Ramon","Open Government and Linked Data: Concepts, Experiences and Lessons Based on the Mexican Case",REVISTA DEL CLAD REFORMA Y DEMOCRACIA,2016,,65,69,102,33,"SSCI - PS,SSCI - PA",,0,1,0,1,1,0,0,0
"Richards, David; Smith, Martin J.",In Defence of British Politics Against the British Political Tradition,POLITICAL QUARTERLY,2015,86,1,41,51,10,SSCI - PS,10.1111/1467-923X.12137,0,1,0,1,0,0,0,0
"Rogge, Nicky; Agasisti, Tommaso; De Witte, Kristof",Big data and the measurement of public organizations' performance and efficiency: The state-of-the-art,PUBLIC POLICY AND ADMINISTRATION,2017,32,4,263,281,18,SSCI - PA,10.1177/0952076716687355,1,1,1,1,1,0,0,0
"Rothe, Delf",Seeing like a satellite: Remote sensing and the ontological politics of environmental security,SECURITY DIALOGUE,2017,48,4,334,353,19,SSCI - IR,10.1177/0967010617709399,0,0,1,1,1,0,0,0
"Roy, Jeffrey","Secrecy, Security and Digital Literacy in an Era of Meta-Data: Why the Canadian Westminster Model Falls Short",INTELLIGENCE AND NATIONAL SECURITY,2016,31,1,95,117,22,"SSCI - PS,SSCI - IR",10.1080/02684527.2014.941250,0,1,0,1,1,0,1,0
"Rumson, Alexander G.; Hallett, Stephen H.; Brewer, Timothy R.",Coastal risk adaptation: the potential role of accessible geospatial Big Data,MARINE POLICY,2017,83,,100,110,10,SSCI - IR,10.1016/j.marpol.2017.05.032,1,1,1,1,1,0,0,0
"Schintler, Laurie A.; Kulkarni, Rajendra","Big Data for Policy Analysis: The Good, The Bad, and The Ugly",REVIEW OF POLICY RESEARCH,2014,31,4,343,348,5,"SSCI - PS,SSCI - PA",10.1111/ropr.12079,1,1,1,1,1,0,0,0
"Schneider, Gerald",Peace through globalization and capitalism? Prospects of two liberal propositions,JOURNAL OF PEACE RESEARCH,2014,51,2,173,183,10,"SSCI - PS,SSCI - IR",10.1177/0022343313497739,0,1,0,1,0,0,0,0
"Schober, Michael F.; Pasek, Josh; Guggenheim, Lauren; Lampe, Cliff; Conrad, Frederick G.",Research Synthesis: Social Media and Social Measurement,PUBLIC OPINION QUARTERLY,2016,80,1,180,211,31,SSCI - PS,10.1093/poq/nfv048,0,0,1,1,1,0,0,0
"Schwarz, Jonas Andersson",Platform Logic: An Interdisciplinary Approach to the Platform-Based Economy,POLICY AND INTERNET,2017,9,4,374,394,20,SSCI - PS,10.1002/poi3.159,0,0,1,1,1,0,0,0
"Severo, Marta; Feredj, Amel; Romele, Alberto",Soft Data and Public Policy: Can Social Media Offer Alternatives to Official Statistics in Urban Policymaking?,POLICY AND INTERNET,2016,8,3,354,372,18,SSCI - PS,10.1002/poi3.127,0,1,1,1,1,0,0,0
"Shah, Dhavan V.; Cappella, Joseph N.; Neuman, W. Russell","Big Data, Digital Media, and Computational Social Science: Possibilities and Perils",ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,6,13,7,SSCI - PS,10.1177/0002716215572084,1,0,0,1,1,1,1,0
"Steinert-Threlkeld, Zachary C.",Spontaneous Collective Action: Peripheral Mobilization During the Arab Spring,AMERICAN POLITICAL SCIENCE REVIEW,2017,111,2,379,403,24,SSCI - PS,10.1017/S0003055416000769,0,0,1,1,1,0,0,0
"Stough, Roger; McBride, Dennis",Big Data and US Public Policy,REVIEW OF POLICY RESEARCH,2014,31,4,339,342,3,"SSCI - PS,SSCI - PA",10.1111/ropr.12083,1,1,1,1,0,0,0,0
"Stramp, Nicholas; Wilkerson, John",Legislative Explorer: Data-Driven Discovery of Lawmaking,PS-POLITICAL SCIENCE & POLITICS,2015,48,1,115,119,4,SSCI - PS,10.1017/S1049096514001644,0,1,0,1,0,0,1,0
"Street, Alex; Murray, Thomas A.; Blitzer, John; Patel, Rajan S.",Estimating Voter Registration Deadline Effects with Web Search Data,POLITICAL ANALYSIS,2015,23,2,225,241,16,SSCI - PS,10.1093/pan/mpv002,0,0,1,1,1,0,0,0
"Swanson, Maureen H.; Vogel, Kathleen M.","Big Data, intelligence, and analyst privacy: investigating information dissemination at an NSA-funded research lab",INTELLIGENCE AND NATIONAL SECURITY,2018,33,3,357,375,18,"SSCI - PS,SSCI - IR",10.1080/02684527.2017.1400234,1,1,0,1,1,0,0,0
"Taylor, Isaac","Data collection, counterterrorism and the right to privacy",POLITICS PHILOSOPHY & ECONOMICS,2017,16,3,326,346,20,SSCI - PS,10.1177/1470594X17715249,0,0,1,1,1,0,0,0
"Titiunik, Rocio",Can Big Data Solve the Fundamental Problem of Causal Inference?,PS-POLITICAL SCIENCE & POLITICS,2015,48,1,75,79,4,SSCI - PS,10.1017/S1049096514001772,1,0,0,1,1,1,0,0
"Treverton, Gregory F.",Theory and practice,INTELLIGENCE AND NATIONAL SECURITY,2018,33,4,472,478,6,"SSCI - PS,SSCI - IR",10.1080/02684527.2018.1452596,0,1,0,1,0,0,1,0
